year,population,agricultural_land_sqkm
2000,66418659,628840.0
2001,67452005,638230.0
2002,68011317,640440.0
2003,68769340,642650.0
2004,70256316,644860.0
2005,71828455,476310.0
2006,73392747,478520.0
2007,74602648,480730.0
2008,75514204,466850.0
2009,76457825,466862.0
2010,77420842,465394.0
2011,78383598,463926.0
2012,79370580,462458.0
2013,80414686,459540.0
2014,81502045,459540.0
2015,82619362,459540.0
2016,83812228,459540.0
2017,85026754,464350.0
2018,86117998,469150.0
2019,87051648,469883.333
2020,87723443,470276.667
2021,88455488,470670.0
2022,89524246,470670.0
2023,90608707,470670.0
2024,91567738,470670.0
